ID,SKU,Producto,Almacén,Ubicación,Stock,Stock mínimo,Stock reservado,Stock disponible,Última actualización
1,SKU-0001,Auriculares Bluetooth ANC X200,ALM02,P02-E01-N2,40,5,7,33,28/06/2026 09:00
2,SKU-0001,Auriculares Bluetooth ANC X200,ALM03,P07-E03-N4,60,10,11,49,12/06/2026 11:00
3,SKU-0002,Altavoz portátil WaveGo,ALM01,P11-E02-N2,12,20,6,6,09/06/2026 16:00
4,SKU-0002,Altavoz portátil WaveGo,ALM03,P04-E06-N3,0,10,0,0,27/06/2026 08:00
5,SKU-0003,Barra de sonido Cinema 300,ALM04,P02-E02-N3,25,20,12,13,29/06/2026 15:00
6,SKU-0003,Barra de sonido Cinema 300,ALM02,P03-E03-N2,25,15,13,12,29/06/2026 17:00
7,SKU-0004,Micrófono USB StreamPro,ALM03,P09-E04-N1,0,5,0,0,05/06/2026 10:00
8,SKU-0004,Micrófono USB StreamPro,ALM01,P11-E04-N1,80,20,14,66,17/06/2026 12:00
9,SKU-0004,Micrófono USB StreamPro,ALM04,P09-E01-N1,200,15,10,190,04/06/2026 12:00
10,SKU-0005,"Portátil UltraBook 14"" i5",ALM02,P12-E06-N3,200,10,3,197,28/06/2026 12:00
11,SKU-0005,"Portátil UltraBook 14"" i5",ALM04,P11-E05-N2,12,15,12,0,06/06/2026 16:00
12,SKU-0005,"Portátil UltraBook 14"" i5",ALM01,P09-E01-N3,120,5,3,117,30/06/2026 13:00
13,SKU-0006,Ratón inalámbrico ErgoM,ALM02,P04-E05-N1,5,20,0,5,25/06/2026 16:00
14,SKU-0006,Ratón inalámbrico ErgoM,ALM01,P03-E02-N4,200,10,8,192,17/06/2026 17:00
15,SKU-0007,Teclado mecánico RGB K87,ALM02,P12-E03-N4,60,20,14,46,04/06/2026 11:00
16,SKU-0007,Teclado mecánico RGB K87,ALM03,P04-E01-N3,0,10,0,0,19/06/2026 11:00
17,SKU-0007,Teclado mecánico RGB K87,ALM01,P01-E01-N1,25,5,1,24,28/06/2026 13:00
18,SKU-0008,"Monitor 27"" QHD 165Hz",ALM02,P05-E06-N4,25,10,15,10,08/06/2026 15:00
19,SKU-0009,SSD NVMe 1TB,ALM02,P11-E04-N3,80,20,14,66,28/06/2026 08:00
20,SKU-0009,SSD NVMe 1TB,ALM01,P11-E06-N1,0,20,0,0,24/06/2026 13:00
21,SKU-0009,SSD NVMe 1TB,ALM03,P02-E02-N2,25,20,4,21,14/06/2026 10:00
22,SKU-0010,Webcam Full HD Pro,ALM04,P02-E04-N1,0,5,0,0,03/06/2026 11:00
23,SKU-0010,Webcam Full HD Pro,ALM01,P03-E04-N4,120,10,12,108,29/06/2026 08:00
24,SKU-0011,Smartphone Aurora 5G 128GB,ALM04,P07-E03-N4,40,20,15,25,05/06/2026 11:00
25,SKU-0011,Smartphone Aurora 5G 128GB,ALM01,P05-E02-N1,200,5,10,190,02/06/2026 08:00
26,SKU-0012,Funda silicona Aurora,ALM02,P03-E01-N1,25,20,3,22,01/07/2026 17:00
27,SKU-0012,Funda silicona Aurora,ALM01,P04-E05-N1,5,20,5,0,19/06/2026 17:00
28,SKU-0012,Funda silicona Aurora,ALM03,P09-E03-N3,25,15,7,18,09/06/2026 14:00
29,SKU-0013,Cargador USB-C 65W,ALM03,P06-E01-N1,120,5,2,118,18/06/2026 11:00
30,SKU-0013,Cargador USB-C 65W,ALM02,P09-E03-N2,60,5,7,53,12/06/2026 12:00
31,SKU-0014,Smartwatch FitBand 3,ALM04,P12-E03-N1,200,15,3,197,01/07/2026 10:00
32,SKU-0014,Smartwatch FitBand 3,ALM03,P05-E01-N1,200,10,8,192,10/06/2026 17:00
33,SKU-0015,Batería externa 20000mAh,ALM03,P11-E06-N3,200,20,8,192,29/06/2026 08:00
34,SKU-0015,Batería externa 20000mAh,ALM01,P02-E06-N4,40,5,0,40,11/06/2026 10:00
35,SKU-0016,Sartén antiadherente 28cm,ALM02,P08-E05-N4,200,5,3,197,03/06/2026 10:00
36,SKU-0016,Sartén antiadherente 28cm,ALM03,P09-E01-N3,200,10,13,187,05/06/2026 08:00
37,SKU-0017,Batidora de vaso 1200W,ALM03,P06-E02-N2,5,15,4,1,29/06/2026 14:00
38,SKU-0017,Batidora de vaso 1200W,ALM01,P10-E06-N2,25,10,5,20,29/06/2026 14:00
39,SKU-0018,Set cuchillos 6 piezas,ALM02,P12-E03-N4,25,15,5,20,26/06/2026 09:00
40,SKU-0019,Cafetera espresso 15 bar,ALM01,P04-E04-N3,40,10,7,33,01/06/2026 11:00
41,SKU-0019,Cafetera espresso 15 bar,ALM02,P07-E03-N3,5,15,2,3,21/06/2026 16:00
42,SKU-0019,Cafetera espresso 15 bar,ALM04,P07-E06-N3,0,5,0,0,29/06/2026 12:00
43,SKU-0020,Lámpara de mesa LED regulable,ALM03,P02-E05-N4,60,15,13,47,20/06/2026 16:00
44,SKU-0020,Lámpara de mesa LED regulable,ALM01,P02-E04-N2,40,5,13,27,01/06/2026 16:00
45,SKU-0021,Tira LED RGB 5m,ALM03,P02-E06-N3,60,5,9,51,17/06/2026 12:00
46,SKU-0021,Tira LED RGB 5m,ALM02,P11-E04-N3,80,15,4,76,07/06/2026 14:00
47,SKU-0022,Plafón techo LED 24W,ALM02,P07-E05-N1,40,15,6,34,14/06/2026 17:00
48,SKU-0022,Plafón techo LED 24W,ALM03,P10-E06-N3,120,20,14,106,22/06/2026 11:00
49,SKU-0022,Plafón techo LED 24W,ALM04,P09-E04-N2,5,15,4,1,22/06/2026 17:00
50,SKU-0023,Estantería modular 5 baldas,ALM01,P11-E03-N2,25,10,0,25,02/06/2026 11:00
51,SKU-0023,Estantería modular 5 baldas,ALM04,P08-E05-N1,120,20,6,114,23/06/2026 14:00
52,SKU-0024,Silla de escritorio ergonómica,ALM04,P11-E06-N1,5,20,1,4,06/06/2026 16:00
53,SKU-0024,Silla de escritorio ergonómica,ALM01,P08-E01-N2,5,20,1,4,26/06/2026 15:00
54,SKU-0024,Silla de escritorio ergonómica,ALM03,P11-E05-N3,120,20,14,106,29/06/2026 10:00
55,SKU-0025,Mesa plegable 120cm,ALM04,P11-E03-N4,25,15,14,11,03/06/2026 12:00
56,SKU-0025,Mesa plegable 120cm,ALM02,P04-E03-N3,60,5,4,56,05/06/2026 11:00
57,SKU-0025,Mesa plegable 120cm,ALM01,P07-E06-N2,25,5,13,12,14/06/2026 13:00
58,SKU-0026,Esterilla yoga TPE 6mm,ALM04,P07-E04-N1,80,20,0,80,01/07/2026 13:00
59,SKU-0026,Esterilla yoga TPE 6mm,ALM01,P05-E04-N4,200,10,15,185,08/06/2026 12:00
60,SKU-0026,Esterilla yoga TPE 6mm,ALM03,P07-E04-N1,80,15,12,68,24/06/2026 10:00
61,SKU-0027,Set mancuernas 20kg,ALM02,P07-E05-N1,5,20,1,4,28/06/2026 15:00
62,SKU-0027,Set mancuernas 20kg,ALM03,P03-E01-N3,80,15,6,74,15/06/2026 13:00
63,SKU-0027,Set mancuernas 20kg,ALM01,P06-E04-N3,80,15,2,78,16/06/2026 08:00
64,SKU-0028,Banda elástica pack 5,ALM03,P04-E06-N1,0,5,0,0,01/07/2026 11:00
65,SKU-0029,Cinta correr plegable,ALM01,P03-E02-N2,120,5,6,114,15/06/2026 12:00
66,SKU-0029,Cinta correr plegable,ALM03,P06-E02-N1,12,15,1,11,19/06/2026 08:00
67,SKU-0030,Casco ciclismo aero M,ALM04,P12-E02-N1,25,5,9,16,28/06/2026 17:00
68,SKU-0030,Casco ciclismo aero M,ALM02,P02-E05-N1,60,20,11,49,03/06/2026 16:00
69,SKU-0031,Luz LED bici recargable,ALM01,P08-E01-N4,60,20,4,56,14/06/2026 10:00
70,SKU-0031,Luz LED bici recargable,ALM02,P12-E05-N3,200,20,14,186,14/06/2026 17:00
71,SKU-0032,Bomba aire portátil,ALM03,P02-E03-N4,25,20,12,13,11/06/2026 08:00
72,SKU-0032,Bomba aire portátil,ALM01,P08-E03-N2,120,10,11,109,26/06/2026 12:00
73,SKU-0033,"Agua mineral 1,5L (pack 6)",ALM03,P12-E03-N1,200,10,2,198,08/06/2026 14:00
74,SKU-0033,"Agua mineral 1,5L (pack 6)",ALM04,P08-E05-N2,120,20,14,106,26/06/2026 08:00
75,SKU-0034,Zumo naranja 1L,ALM03,P04-E04-N2,40,15,15,25,18/06/2026 16:00
76,SKU-0035,Café molido 250g,ALM04,P09-E03-N3,120,15,9,111,09/06/2026 11:00
77,SKU-0035,Café molido 250g,ALM03,P02-E06-N2,60,5,5,55,07/06/2026 11:00
